Title,Date
"Rick and Morty: Season 4: Claw and Hoarder: Special Ricktim’s Morty","2020-02-01"
"LEGO Jurassic World: The Indominus Escape","2020-02-01"
"Disenchantment: Part 1: Love's Tender Rampage","2020-02-01"
"How I Met Your Mother: Season 3: Little Boys","2020-01-31"
"How I Met Your Mother: Season 3: Third Wheel","2020-01-31"
"How I Met Your Mother: Season 3: We're Not From Here","2020-01-31"
"How I Met Your Mother: Season 3: Wait for It","2020-01-31"
"How I Met Your Mother: Season 2: Something Blue","2020-01-31"
"How I Met Your Mother: Season 2: Something Borrowed","2020-01-31"
"How I Met Your Mother: Season 2: Showdown","2020-01-31"
"How I Met Your Mother: Season 2: Bachelor Party","2020-01-31"
"Rick and Morty: Season 4: One Crew over the Crewcoo’s Morty","2020-01-31"
"Rick and Morty: Season 4: The Old Man and the Seat","2020-01-31"
"Norbit","2020-01-28"
"Sex Education: Season 1: Episode 8","2020-01-23"
"Stranger Things: Stranger Things 3: Chapter Four: The Sauna Test","2020-01-21"
"Rick and Morty: Season 4: Rattlestar Ricklactica","2019-12-31"
"Rick and Morty: Season 2: Get Schwifty","2019-12-31"
"You: Season 1: Maybe","2019-12-28"
"You: Season 1: The Last Nice Guy in New York","2019-12-28"
"You: Season 1: Pilot","2019-12-28"
"Your lie in April: Season 1: Spring Wind","2019-12-27"
"Your lie in April: Season 1: Snow","2019-12-27"
"Your lie in April: Season 1: Hand In Hand","2019-12-27"
"Your lie in April: Season 1: Goodbye, Hero","2019-12-27"
"Your lie in April: Season 1: Hearts Come Together","2019-12-27"
"Your lie in April: Season 1: Twilight","2019-12-27"
"Your lie in April: Season 1: Two Of a Kind","2019-12-27"
"Your lie in April: Season 1: Liar","2019-12-27"
"Your lie in April: Season 1: Footsteps","2019-12-27"
"Your lie in April: Season 1: Resonance","2019-12-27"
"Rick and Morty: Season 2: Total Rickall","2019-12-27"
"The End of the F***ing World: Season 2: Episode 8","2019-12-26"
"The End of the F***ing World: Season 2: Episode 7","2019-12-26"
"The End of the F***ing World: Season 2: Episode 6","2019-12-26"
"The End of the F***ing World: Season 2: Episode 5","2019-12-26"
"The End of the F***ing World: Season 2: Episode 4","2019-12-26"
"The End of the F***ing World: Season 2: Episode 3","2019-12-26"
"The End of the F***ing World: Season 2: Episode 2","2019-12-26"
"The End of the F***ing World: Season 2: Episode 1","2019-12-26"
"The Witcher: Season 1: The End’s Beginning","2019-12-25"
"Little Witch Academia: Season 2: Cavendish","2019-12-22"
"How I Met Your Mother: Season 2: Moving Day","2019-12-10"
"How I Met Your Mother: Season 2: Arrivederci, Fiero","2019-12-10"
"How I Met Your Mother: Season 2: Stuff","2019-12-10"
"How I Met Your Mother: Season 2: Lucky Penny","2019-11-27"
"Your lie in April: Season 1: The Shadow Whispers","2019-11-22"
"Your lie in April: Season 1: On The Way Home","2019-11-22"
"League of Legends Origins","2019-11-11"
"Aggretsuko: Season 2: Wonderful Life","2019-11-11"
"Aggretsuko: Season 2: She's Dreaming","2019-11-11"
"Aggretsuko: Season 2: United Front","2019-11-11"
"Aggretsuko: Season 2: He Lives Above the Clouds","2019-11-10"
"Neon Genesis Evangelion: Season 1: Rei, Beyond the Heart","2019-11-09"
"Black Mirror: Season 4: Black Museum","2019-11-09"
"Aggretsuko: Season 2: Growing Affection","2019-11-09"
"Aggretsuko: Season 2: Unknown Future","2019-11-09"
"Aggretsuko: Season 2: The New Hire Named Anai","2019-11-09"
"Aggretsuko: Season 2: Time to Grow Up","2019-11-09"
"Aggretsuko: Season 2: Unavoidable Impact","2019-11-09"
"Aggretsuko: Season 2: Double Moratorium","2019-11-08"
"Let the Right One In","2019-10-25"
"Angel Beats!: Season 1: Graduation","2019-10-15"
"Angel Beats!: Season 1: Knocking on Heaven's Door","2019-10-15"
"Angel Beats!: Season 1: Change the World","2019-10-15"
"Angel Beats!: Season 1: Goodbye Days","2019-10-14"
"Angel Beats!: Season 1: In Your Memory","2019-10-14"
"Angel Beats!: Season 1: Dancer in the Dark","2019-10-14"
"Angel Beats!: Season 1: Alive","2019-10-14"
"Angel Beats!: Season 1: Family Affair","2019-10-14"
"Neon Genesis Evangelion: Season 1: Rain, After Running Away","2019-10-12"
"Your lie in April: Season 1: Friend A","2019-10-04"
"Your lie in April: Season 1: Monotone/Colorful","2019-10-04"
"The Emoji Movie","2019-09-13"
"Neon Genesis Evangelion: Season 1: The Silent Phone","2019-09-12"
"Neon Genesis Evangelion: Season 1: Unfamiliar Ceilings","2019-09-12"
"Quicksand: Season 1: The Witnesses","2019-09-10"
"Quicksand: Season 1: The Trial","2019-09-09"
"Quicksand: Season 1: The Reconstruction","2019-09-09"
"Quicksand: Season 1: The Funeral","2019-09-09"
"Dark Tourist: Season 1: Back in the USA","2019-09-08"
"Angel Beats!: Season 1: Favorite Flavor","2019-09-08"
"Angel Beats!: Season 1: Day Game","2019-09-08"
"Quicksand: Season 1: Custody","2019-09-08"
"Quicksand: Season 1: Maja","2019-09-08"
"Little Witch Academia: Season 2: Stanship Take Off!","2019-09-08"
"CAROLE & TUESDAY: Part 1: True Colors","2019-09-08"
"Angel Beats!: Season 1: My Song","2019-09-08"
"Angel Beats!: Season 1: Guild","2019-09-07"
"Angel Beats!: Season 1: Departure","2019-09-07"
"Love, Death & Robots: Volume 1: GOOD HUNTING","2019-08-14"
"Love, Death & Robots: Volume 1: SUITS","2019-08-14"
"Love, Death & Robots: Volume 1: THE WITNESS","2019-08-14"
"Stranger Things: Stranger Things 3: Chapter Three: The Case of the Missing Lifeguard","2019-08-11"
"Stranger Things: Stranger Things 3: Chapter Two: The Mall Rats","2019-08-11"
"Stranger Things: Stranger Things 3: Chapter One: Suzie, Do You Copy?","2019-08-10"
"Orange Is the New Black: Season 7: Here's Where We Get Off","2019-08-02"
"Orange Is the New Black: Season 7: The Big House","2019-08-02"
"Orange Is the New Black: Season 7: God Bless America","2019-08-02"
"Orange Is the New Black: Season 7: The Thirteenth","2019-08-02"
"Orange Is the New Black: Season 7: The Hidey Hole","2019-08-02"
"Orange Is the New Black: Season 7: Baker's Dozen","2019-08-02"
"Orange Is the New Black: Season 7: Me as Well","2019-08-02"
"Orange Is the New Black: Season 7: Trapped in an Elevator","2019-08-01"
"Orange Is the New Black: Season 7: Minority Deport","2019-08-01"
"Orange Is the New Black: Season 7: How to Do Life","2019-08-01"
"Orange Is the New Black: Season 7: And Brown Is the New Orange","2019-08-01"
"Orange Is the New Black: Season 7: Just Desserts","2019-08-01"
"Orange Is the New Black: Season 7: Beginning of the End","2019-07-31"
"Orange Is the New Black: Season 1: I Wasn't Ready","2019-07-31"
"The Disastrous Life of Saiki K.: Season 2: Episode 3","2019-07-24"
"The Disastrous Life of Saiki K.: Season 2: Episode 2","2019-07-24"
"Pulp Fiction","2019-07-22"
"Love, Death & Robots: Volume 1: THE SECRET WAR","2019-07-19"
"Love, Death & Robots: Volume 1: WHEN THE YOGURT TOOK OVER","2019-07-14"
"Love, Death & Robots: Volume 1: SONNIE'S EDGE","2019-07-14"
"Love, Death & Robots: Volume 1: ICE AGE","2019-07-14"
"Love, Death & Robots: Volume 1: BEYOND THE AQUILA RIFT","2019-07-14"
"Love, Death & Robots: Volume 1: THREE ROBOTS","2019-07-14"
"Aggretsuko: Season 1: The Out of Pocket Prince","2019-07-12"
"Black Mirror: Season 4: Hang the DJ","2019-07-10"
"Kakegurui: Kakegurui xx: Compulsive Gambling Girls Redux","2019-07-07"
"Stranger Things: Chapter One: The Vanishing Of Will Byers","2019-07-07"
"Black Mirror: Season 4: Crocodile","2019-07-05"
"Black Mirror: Season 3: Playtest","2019-07-04"
"Black Mirror: Season 3: Hated in the Nation","2019-07-04"
"Black Mirror: Season 3: Men Against Fire","2019-07-03"
"Black Mirror: Season 3: San Junipero","2019-07-02"
"Neon Genesis Evangelion: Season 1: Angel Attack","2019-06-27"
"Black Mirror: Season 2: The Waldo Moment","2019-06-24"
"Black Mirror: Bandersnatch","2019-05-08"
"Despicable Me 3","2019-05-08"
"It","2019-05-08"
"How I Met Your Mother: Season 2: Monday Night Football","2019-05-08"
"That '70s Show: Season 1: Pilot","2019-05-08"
"Riverdale: Season 1: Chapter One: The River's Edge","2019-05-08"
"Kingdom: Season 1: Episode 1","2019-05-08"
"RuPaul's Drag Race: Season 1: Drag on a Dime","2019-05-08"
"The Disastrous Life of Saiki K.: Season 2: Episode 1","2019-04-23"
"The Boss Baby: Back in Business: Season 2: As the Diaper Changes","2019-04-15"
"Trailer Park Boys: The Animated Series: Season 1: Long Story Short … A Bear Ripped My C**k Off and Ate It","2019-04-04"
"Bird Box","2019-04-04"
"Back Street Girls -GOKUDOLS-: Season 1: Episode 1","2019-02-28"
"Violet Evergarden: Special: Extra Episode: Episode 1","2019-02-24"
"The Disastrous Life of Saiki K.: Season 1: Episode 3","2019-02-24"
"The Worst Witch: Season 2: Tortoise Trouble","2019-02-24"
"The Disaster Artist","2019-02-24"
"Friends: Season 1: The One Where Monica Gets a Roommate (Pilot)","2019-02-14"
"How I Met Your Mother: Season 2: First Time in New York","2019-02-07"
"How I Met Your Mother: Season 2: How Lily Stole Christmas","2019-02-07"
"How I Met Your Mother: Season 2: Single Stamina","2019-02-07"
"Kakegurui: Season 1: Episode 12","2019-01-31"
"Kakegurui: Season 1: Episode 11","2019-01-31"
"Kakegurui: Season 1: Episode 10","2019-01-31"
"Back Street Girls -GOKUDOLS-: Season 1: Episode 2","2019-01-30"
"Anohana: The Flower We Saw That Day: Season 1: Episode 11","2019-01-28"
"Anohana: The Flower We Saw That Day: Season 1: Episode 10","2019-01-28"
"Anohana: The Flower We Saw That Day: Season 1: Episode 9","2019-01-28"
"Anohana: The Flower We Saw That Day: Season 1: Episode 8","2019-01-28"
"Kakegurui: Season 1: Episode 9","2019-01-27"
"Anohana: The Flower We Saw That Day: Season 1: Episode 7","2019-01-27"
"Anohana: The Flower We Saw That Day: Season 1: Episode 6","2019-01-27"
"Anohana: The Flower We Saw That Day: Season 1: Episode 5","2019-01-27"
"Anohana: The Flower We Saw That Day: Season 1: Episode 4","2019-01-27"
"How I Met Your Mother: Season 2: Slap Bet","2019-01-23"
"How I Met Your Mother: Season 2: Atlantic City","2019-01-23"
"How I Met Your Mother: Season 2: Swarley","2019-01-23"
"Kakegurui: Season 1: Episode 8","2019-01-23"
"Kakegurui: Season 1: Episode 7","2019-01-23"
"Kakegurui: Season 1: Episode 6","2019-01-23"
"Kakegurui: Season 1: Episode 1","2019-01-23"
"How I Met Your Mother: Season 2: Aldrin Justice","2019-01-22"
"How I Met Your Mother: Season 2: World's Greatest Couple","2019-01-22"
"How I Met Your Mother: Season 2: Ted Mosby: Architect","2019-01-22"
"How I Met Your Mother: Season 2: Brunch","2019-01-22"
"How I Met Your Mother: Season 2: The Scorpion and the Toad","2019-01-22"
"How I Met Your Mother: Season 2: Where Were We?","2019-01-22"
"How I Met Your Mother: Season 1: Come On","2019-01-22"
"How I Met Your Mother: Season 1: Milk","2019-01-21"
"How I Met Your Mother: Season 1: Best Prom Ever","2019-01-21"
"How I Met Your Mother: Season 1: Mary the Paralegal","2019-01-21"
"Anohana: The Flower We Saw That Day: Season 1: Episode 3","2019-01-17"
"Anohana: The Flower We Saw That Day: Season 1: Episode 2","2019-01-17"
"Devilman Crybaby: Limited Series: I Need You","2019-01-16"
"Aggretsuko: Season 1: The Duel","2019-01-15"
"Aggretsuko: We Wish You a Metal Christmas","2019-01-15"
"Aggretsuko: Season 1: Stoking Rebellion","2018-12-29"
"Aggretsuko: Season 1: Exposed","2018-12-29"
"Aggretsuko: Season 1: Walking Down the Aisle","2018-12-29"
"Aggretsuko: Season 1: Short-timer","2018-12-29"
"The Disastrous Life of Saiki K.: Season 1: Episode 20","2018-12-09"
"The Disastrous Life of Saiki K.: Season 1: Episode 23","2018-12-09"
"The Disastrous Life of Saiki K.: Season 1: Episode 24","2018-11-02"
"The Disastrous Life of Saiki K.: Season 1: Episode 22","2018-11-02"
"The Disastrous Life of Saiki K.: Season 1: Episode 21","2018-11-02"
"The Disastrous Life of Saiki K.: Season 1: Episode 19","2018-11-01"
"The Disastrous Life of Saiki K.: Season 1: Episode 18","2018-10-26"
"The Disastrous Life of Saiki K.: Season 1: Episode 17","2018-10-26"
"The Disastrous Life of Saiki K.: Season 1: Episode 16","2018-10-26"
"The Disastrous Life of Saiki K.: Season 1: Episode 15","2018-10-25"
"The Disastrous Life of Saiki K.: Season 1: Episode 14","2018-10-25"
"The Disastrous Life of Saiki K.: Season 1: Episode 13","2018-10-25"
"The Disastrous Life of Saiki K.: Season 1: Episode 12","2018-10-25"
"The Disastrous Life of Saiki K.: Season 1: Episode 11","2018-10-25"
"The Disastrous Life of Saiki K.: Season 1: Episode 10","2018-10-24"
"The Disastrous Life of Saiki K.: Season 1: Episode 9","2018-10-24"
"The Disastrous Life of Saiki K.: Season 1: Episode 8","2018-10-24"
"The Disastrous Life of Saiki K.: Season 1: Episode 7","2018-10-24"
"The Disastrous Life of Saiki K.: Season 1: Episode 6","2018-10-24"
"The Disastrous Life of Saiki K.: Season 1: Episode 5","2018-10-24"
"The Disastrous Life of Saiki K.: Season 1: Episode 4","2018-10-24"
"The Disastrous Life of Saiki K.: Season 1: Episode 2","2018-10-23"
"The Disastrous Life of Saiki K.: Season 1: Episode 1","2018-10-23"
"Holidays","2018-10-21"
"Little Witch Academia: Season 2: Amanda O'Neill and the Holy Grail","2018-10-09"
"Dark Tourist: Season 1: Africa","2018-10-08"
"Little Witch Academia: Season 2: Pohjola's Ordeal","2018-10-07"
"Little Witch Academia: Season 2: Chariot of Fire","2018-10-07"
"Little Witch Academia: Season 2: New Age Magic","2018-10-07"
"Little Witch Academia: Season 1: Samhain Magic Festival","2018-10-07"
"Little Witch Academia: Season 1: What You Will","2018-10-07"
"Dark Tourist: Season 1: The Stans","2018-10-04"
"BoJack Horseman: Season 1: Prickly-Muffin","2018-09-15"
"BoJack Horseman: Season 1: BoJack Hates the Troops","2018-09-15"
"BoJack Horseman: Season 1: BoJack Horseman: The BoJack Horseman Story, Chapter One","2018-09-15"
"Dark Tourist: Season 1: South East Asia","2018-09-14"
"Dark Tourist: Season 1: Europe","2018-09-12"
"Paprika","2018-09-09"
"Dark Tourist: Season 1: United States","2018-09-03"
"Dark Tourist: Season 1: Japan","2018-08-21"
"Dark Tourist: Season 1: Latin America","2018-08-21"
"Disenchantment: Part 1: Swamp and Circumstance","2018-08-20"
"Disenchantment: Part 1: Faster, Princess! Kill! Kill!","2018-08-20"
"Disenchantment: Part 1: Castle Party Massacre","2018-08-20"
"Disenchantment: Part 1: The Princess of Darkness","2018-08-20"
"Disenchantment: Part 1: For Whom the Pig Oinks","2018-08-20"
"Red vs. Blue: Volume 11: The Chorus Trilogy","2018-08-16"
"Red vs. Blue: Volume 10: Project Freelancer","2018-08-16"
"Little Witch Academia: Season 1: Blue Moon","2018-08-15"
"Little Witch Academia: Season 1: Bee Affection","2018-08-15"
"Rick and Morty: Season 3: The Rickchurian Mortydate","2018-08-15"
"Rick and Morty: Season 3: The ABC's of Beth","2018-08-15"
"Rick and Morty: Season 3: Morty's Mind Blowers","2018-08-15"
"Rick and Morty: Season 3: The Ricklantis Mixup","2018-08-15"
"Rick and Morty: Season 3: Rest and Ricklaxation","2018-08-15"
"Rick and Morty: Season 3: The Whirly Dirly Conspiracy","2018-08-14"
"Rick and Morty: Season 3: Vindicators 3:  The Return of Worldender","2018-08-14"
"Rick and Morty: Season 3: Pickle Rick","2018-08-14"
"Rick and Morty: Season 3: Rickmancing the Stone","2018-08-14"
"Rick and Morty: Season 2: Look Who's Purging Now","2018-08-14"
"Rick and Morty: Season 2: Interdimensional Cable 2: Tempting Fate","2018-08-14"
"Rick and Morty: Season 2: Big Trouble in Little Sanchez","2018-08-14"
"Rick and Morty: Season 2: The Ricks Must Be Crazy","2018-08-13"
"Rick and Morty: Season 3: The Rickshank Rickdemption","2018-08-11"
"The Rain: Season 1: Stay Inside","2018-08-09"
"Flavors of Youth: International Version","2018-08-09"
"Little Witch Academia: Season 1: Undead Travelogue","2018-08-03"
"Little Witch Academia: Season 1: Akko's Adventure in Sucyworld","2018-08-03"
"Little Witch Academia: Season 1: Orange Submariner","2018-08-03"
"Little Witch Academia: Season 1: The Fountain","2018-08-03"
"Little Witch Academia: Season 1: Pact of the Dragon","2018-08-03"
"Little Witch Academia: Season 1: Night Fall","2018-08-03"
"Rick and Morty: Season 2: The Wedding Squanchers","2018-08-03"
"Little Witch Academia: Season 1: Don't Stop Me Now","2018-07-30"
"Black Mirror: Season 3: Nosedive","2018-07-29"
"Little Witch Academia: Season 1: Papiliodia","2018-07-28"
"Black Mirror: Season 4: Metalhead","2018-06-24"
"Black Mirror: Season 2: White Christmas","2018-06-24"
"Sherlock: Series 1: The Blind Banker","2018-06-13"
"Aggretsuko: Season 1: The Dream Ends","2018-06-02"
"Aggretsuko: Season 1: A Rosy World","2018-06-02"
"How I Met Your Mother: Season 3: The Yips","2018-05-20"
"How I Met Your Mother: Season 3: Slapsgiving","2018-05-20"
"How I Met Your Mother: Season 3: Spoiler Alert","2018-05-20"
"How I Met Your Mother: Season 3: Dowisetrepla","2018-05-20"
"How I Met Your Mother: Season 3: I'm Not That Guy","2018-05-20"
"Kakegurui: Season 1: Episode 1","2018-05-19"
"Little Witch Academia: Season 1: Starting Over","2018-05-14"
